99426 99843
1183 197163 8310
2359 197180 4177
1521 198874 6754
6637 196792 6413
109 198074 5173
1687 198344 8932
2816 199007 3351
1264 197451 2395
4649 192505 8446
4671 199396 7004
1500 199087 3328
1526 199972 373
5648 199751 9674
2451 195084 3411
1683 199120 576
333 198437 3072
1602 199834 2839
1224 199473 5834
26 198699 1137
821 199028 5557
9528 199644 8472
3286 196115 9890
246 198833 5389
524 199180 448
2086 196772 674
2191 199056 1651
4570 199513 4885
1828 199116 5475
1645 193244 462
7133 198072 6024
551 199884 3596
133 198391 6531
453 199723 2908
2976 198166 8927
461 199910 3578
460 198776 5672
12936 197426 8204
2471 198737 5419
1294 198376 9435
1599 198626 4303
1482 199633 1348
977 197453 6323
1830 199555 5168
1233 199222 4457
1128 199314 1503
263 197416 9075
2402 199460 2651
118 198269 2428
1500 197861 4139
492 192719 7896
205 199116 8981
4058 198657 239
1095 199560 1112
136 198203 5558
4227 199926 2441
335 199634 1439
541 198735 5838
1602 198627 4148
416 192883 2233
1827 199779 9295
2293 198809 7845
2121 198499 4844
521 199972 3974
11392 199938 9569
3281 198826 6781
1404 197873 9437
2930 199546 2234
647 199492 4033
352 199005 6102
54 199745 7611
3544 199790 1391
1832 199855 3641
246 197313 4230
5643 196984 5292
2540 196217 8327
879 198326 6875
622 199985 6296
119 196204 7387
1883 198611 1045
823 197228 2445
1709 199364 249
2337 195809 2455
3781 198543 7776
368 197051 9574
11871 199421 3740
2146 199532 3955
367 195427 101
1176 198477 8884
3920 199938 8437
1070 199434 3653
2633 199910 3428
948 199033 8199
530 195087 4272
2847 195079 2249
3837 199450 7775
875 199688 9349
1993 199068 6585
484 199750 573
1702 196403 5761
1309 198978 2582
1265 195985 467
20 199360 6757
452 196073 6835
344 198673 1128
1122 198528 8771
4184 197003 198
184 196569 5302
1670 194855 9034
3053 199676 8308
5689 192893 1869
1094 199688 2222
1172 197967 7683
1064 195715 2451
917 197446 4440
185 194889 2899
1212 199411 5434
2647 199844 851
316 197044 5209
2445 193761 5792
1131 199800 1389
1422 195201 2072
4331 197122 8184
652 199135 982
7093 198571 7373
1695 199858 1981
1474 193220 7775
1566 197792 5016
80 199533 9150
520 197614 3041
2272 199201 9854
1006 199348 1647
5353 197690 5929
4678 199255 9027
3389 198860 6712
413 199050 341
808 197924 5772
322 198934 2860
1038 199548 6898
2412 198878 1260
297 198580 6535
2518 199622 1284
10 195792 3064
199 197809 2438
1741 199580 3358
4137 199205 4089
2283 198873 553
1503 196041 8924
1012 197644 7036
994 193019 7229
168 199205 9208
5586 199758 1066
2727 199769 556
7437 199865 7494
500 199055 8108
759 196381 2688
1176 198358 2512
219 197539 9838
1546 199632 7039
1365 199325 9856
317 199645 5244
280 199467 1347
1734 197082 5457
892 198062 6548
510 197066 778
2834 197066 135
1154 199381 8004
1316 194884 4215
2525 196761 102
1714 197683 9343
1396 198257 5342
560 197929 9881
4595 195877 9120
983 198248 2390
3548 196625 7212
535 198010 9262
126 199634 4511
1754 199880 889
840 194634 6524
1911 199388 3805
1989 199994 6427
1628 195534 3594
179 199627 7537
2610 199510 2260
211 195737 160
1236 199751 1695
76 199377 9121
3533 199747 8864
4271 198017 1712
732 199693 6899
583 198371 6936
927 198554 6775
457 195215 4352
1018 198935 5889
2208 197569 9060
1783 196355 7121
3979 198364 9079
2123 199947 9566
1712 197534 5337
1433 199177 8776
65 196184 2916
354 199858 1918
1641 199603 1788
1928 198254 141
926 199340 9927
2140 199427 8828
2917 198091 5418
2183 195788 9525
867 199034 9445
928 198258 7909
987 197591 833
34 198151 8454
173 198967 3063
1695 199772 4651
1938 195422 1187
4376 197352 3676
3137 195412 9082
5925 199288 5588
3510 199861 6792
2812 195629 8376
268 199779 1134
1821 199338 9066
355 197550 1482
2584 199081 5726
244 198918 3096
5114 197803 8971
2612 197804 1785
1907 198108 6677
1203 199131 7762
731 199669 8872
813 192093 2263
3020 198237 6952
1321 199167 9416
2321 198708 3816
2764 199276 5148
827 196543 9513
815 197962 9835
2009 199047 4805
7657 198580 5361
2614 198396 2251
6471 197865 6529
1137 196988 9100
49 199730 806
4414 197867 6261
15479 199006 6401
331 198091 4271
1544 199467 1198
1032 199460 3044
35 197298 4088
688 199626 996
539 199827 7824
426 199754 1224
567 198997 6952
4440 198250 8693
3253 198857 2502
458 199245 4724
3901 198445 790
1196 198361 5855
621 197903 7375
1440 194357 8960
1816 198443 8698
53 195339 5766
1898 199639 7407
25 199770 872
7275 199376 9585
698 197840 2654
358 198579 5596
1724 198912 6764
517 199223 1117
252 199188 6321
712 196784 7697
857 196227 3728
7477 198375 2449
631 196464 7022
336 198486 189
6695 186037 9740
2916 198642 3783
2930 198922 6310
835 198560 1586
1165 198599 9643
3452 197555 7548
164 193887 5295
43 199248 9945
887 195527 1502
3378 197830 9744
5042 197672 626
1324 199222 6747
1196 195585 6969
7350 197973 2329
985 198275 1807
5482 199903 3591
3444 198738 9698
1861 199405 8768
9287 197289 5782
686 197666 1088
